N,District,Price,Rooms,Totsp,Livesp,Kitsp,Brick,Floor,Nfloors,Dist,Metrdist,Walk,Bal,Tel,New
319,0,12050000,3,64.0,40.0,6.3,0,4,9,2.75,7,1,1,1,1
320,0,12142406,2,53.8,36.6,7.6,1,6,9,2.45,7,1,1,1,1
321,0,12100000,2,54.6,37.0,12.0,1,7,9,2.47,5,1,1,1,1
322,0,12100000,2,48.0,35.0,10.0,0,9,9,1.98,5,1,1,0,1
323,0,12149400,1,38.6,31.7,8.0,1,2,7,2.42,5,1,0,-,0
324,0,12149427,1,38.6,-,-,0,2,7,2.42,8,1,0,-,0
325,0,12149427,1,38.6,-,-,1,2,7,2.42,8,1,0,-,0
326,0,12149427,1,38.6,-,-,0,2,7,2.42,8,1,0,-,0
327,0,12177741,1,38.7,-,-,1,2,7,2.38,5,1,0,-,0
328,0,12177740,1,38.7,-,-,0,2,7,2.42,8,1,0,-,0
329,0,12200000,3,64.0,40.0,6.3,0,4,9,2.75,5,1,1,1,1
330,0,12200000,3,60.0,43.0,6.0,0,5,9,4.89,10,1,1,0,1
